subgraph_id,ipfs_hash,signal_amount,active_indexers,indexer_sync_percentages,indexer_count,query_volume_30d,query_volume_days,indexers_responding,indexers_synced,indexers_healthy,sync_percentage
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmY6FLAhghwGn2gh9cb299sySZ2DUY8GkSh1A1PesfmUcC,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,0,0,1,1,1,99.0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmaeK2QJGUf9w2noLvUwExca5uHgjGkM8b3J3bA9iMGwvW,0,None,None,0,0,0,0,0,0,0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmPdH9fdeioZcnX38e2ucPhzaRVfLHAaWnNKerZqfPgiYJ,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,0,0,1,1,1,99.0%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmXudkz7JaVMBW6KB7qi2Py5aYzYaiykJHgmphiHdUrKvU,991621087221674159420,"0x35917c0eb91d2e21bef40940d028940484230c06, 0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4","100%, 100%, 100%",3,228578,30,3,3,3,100.0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,Qmc3ZNr4CzQ9pFwWYP1BrgDnDD13kW9g8YxXrT5JRVqgZP,0,None,None,0,0,0,0,0,0,0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,QmcCfjyJcHsKWauM9j8ShavSAt4PyxiudxJG61fYxu7ede,0,None,None,0,0,0,0,0,0,0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,QmXD7aASkZG7Lj39Ek8jH5mhqgokrb95CTywixueDeNwKZ,0,None,None,0,0,0,0,0,0,0%
5mvK3d3tyHoUhMcquXFRfmGn7sWtXovNoraQMVCoqWHS,QmNbdixvustXQm4pSWbj6CmVmX2Qw6JbAdBTFbKZvSsSZh,495249087677355665394,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51","100%, 100%",2,79376,30,2,2,2,100.0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,Qma6vGQGtbN329VUPdev5r8mdjNSXVVRTScSaZd7VNPdv5,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmRq5vzRGvp5Sq1NBnSVggkLFC4TQLrdnW5ZPf29ZyYRrm,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmV2WQzbXvm6SZyqDXpg8GtxkXJuDey6PemWo91FLZLefR,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmQFGSPqZVwqyhPtmqdbc41mqaXA3U2NkXE5Z1iAn1T3tR,0,None,None,0,0,0,0,0,0,0%
5qJjibWkWfjm2H5Z1ye2gwveTfSBJ7HjPcqvy91dgri3,QmegqhCaVZoq94q9wyHSP2ALSHdyKuPYEwSozK87UT6XiZ,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,2,30,1,1,1,100.0%
